number,contract_name,name,address,lat,lng,bike_stands,available_bike_stands,available_bikes,status,last_update,time_get
55,toulouse,00055 - ST SERNIN G. ARNOULT,2 RUE GATIEN ARNOULT,43.608951960496405,1.441003598726198,15,15,0,OPEN,1591615573.0,1591616069
195,toulouse,00195 - LARROUSSE -RIEUX,FACE 15 RUE PIERRE LAROUSSE,43.59723540303583,1.45907112459247,18,12,6,OPEN,1591615637.0,1591616069
29,toulouse,00029 - VALADE,31 RUE VALADE,43.605071904633625,1.437032051956223,19,10,9,OPEN,1591615859.0,1591616069
280,toulouse,280 - CHARBONNIERE,RUE DE LA CHARBONNIERE ANGLE RUE DES PALMIERS 31000 TOULOUSE,43.57383,1.44871,18,10,8,OPEN,1591615829.0,1591616069
156,toulouse,00156 - METRO EMPALOT,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,43.579737115748195,1.441783289134449,18,4,14,OPEN,1591615585.0,1591616069
242,toulouse,00242 -  RAIMBAUD / COLETTE,RUE RAIMBAUD ANGLE RUE COLETTE,43.633866178151905,1.437493796200118,16,3,13,OPEN,1591615448.0,1591616069
224,toulouse,00224 - CAMPUS SUPAERO,AVENUE EDOUARD BELIN FACE CHÂTEAU DU CREPS,43.566595761363736,1.474881961695726,20,7,13,OPEN,1591615888.0,1591616069
229,toulouse,00229 - IUT RANGUEIL,129 AV DE RANGUEIL,43.571433064051334,1.46278065695466,18,1,15,OPEN,1591615749.0,1591616069
154,toulouse,00154 - GALLOIS,RUE DES GALLOIS,43.58995890864312,1.4420311550308,20,14,6,OPEN,1591615450.0,1591616069
96,toulouse,00096 - MEDIATHEQUE,50 RUE DU GENERAL COMPANS,43.60974282737991,1.455204795385279,25,22,3,OPEN,1591615883.0,1591616069
65,toulouse,00065 - VERDIER - GRAND ROND,2 ALL FORAIN FRANCOIS VERDIER,43.597074846780274,1.452605307400692,27,15,12,OPEN,1591615596.0,1591616069
22,toulouse,00022 - CARNOT ROLAND,24 BD LAZARE CARNOT,43.60221990815785,1.45195665819857,20,16,4,OPEN,1591615811.0,1591616069
236,toulouse,00236 - TOEC / LEMIRE,RUE DE L'ABBE JULES LEMIRE,43.59729443895585,1.403872948950036,20,9,11,OPEN,1591615911.0,1591616069
111,toulouse,00111 - MINIMES PASSERELLE,38B BD DES MINIMES,43.615259799224134,1.442921175845342,27,22,5,OPEN,1591615951.0,1591616069
243,toulouse,00243 - ETATS-UNIS / FERRY,96 av des Etats-Unis angle rue Jules Ferry,43.632641237523,1.43180804154469,17,9,8,OPEN,1591615713.0,1591616069
152,toulouse,00152 - MAZADES,10 AV DES MAZADES,43.624183134252704,1.438302180907754,20,7,13,OPEN,1591615990.0,1591616069
174,toulouse,00174 - MAUNOURY / MELA,41 AV MAURICE BOURGES MAUNOURY,43.63692179179762,1.452693250180783,19,15,4,OPEN,1591615915.0,1591616069
276,toulouse,00276 - MARIN REBOUL,chemin du Marin angle chemin du Reboul,43.58132,1.37975,18,17,1,OPEN,1591615897.0,1591616069
77,toulouse,00077 - PLACE INT SAINT CYPRIEN,2 PL INTERIEURE ST CYPRIEN,43.597835830061406,1.431605284631358,13,0,12,OPEN,1591615592.0,1591616069
137,toulouse,00137 - BRUNHES-FONTAINES,47 BD JEAN BRUNHES,43.60094924792523,1.420275802412521,15,3,12,OPEN,1591615654.0,1591616069
144,toulouse,00144 - SUISSE - LAUSANE,62 BD DE SUISSE,43.61606217398145,1.421715694303944,22,4,18,OPEN,1591615546.0,1591616069
40,toulouse,00040 - COLOMBETTE,41 RUE DE LA COLOMBETTE,43.604660136134775,1.453588691746783,16,4,12,OPEN,1591616043.0,1591616069
25,toulouse,00025 - PLACE ROUAIX,1 RUE DES TOURNEURS,43.599435045967155,1.445580732388259,18,5,13,OPEN,1591615948.0,1591616069
74,toulouse,00074 - LAGANNE TEINTURIERS,37 RUE LAGANNE,43.596660562935625,1.436175197009508,18,2,16,OPEN,1591615608.0,1591616069
71,toulouse,00071 - COURS DILLON,3 RUE LAGANNE,43.59318934283672,1.434894328349442,22,17,5,OPEN,1591615572.0,1591616069
105,toulouse,00105 - BILLIERE -CHAMPETRE,12  AV  ETIENNE  BILLIERES,43.59764204883991,1.428862699237109,19,5,14,OPEN,1591615946.0,1591616069
64,toulouse,00064 - PERI MERCADIER,0030 RUE GABRIEL PERI,43.60617263070887,1.454987798766018,24,17,7,OPEN,1591615754.0,1591616069
3,toulouse,00003 - POMME,62 RUE DE LA POMME,43.60333593826575,1.445569311598848,18,10,7,OPEN,1591615798.0,1591616069
139,toulouse,00139 - BARRIERE DE LOMBEZ,39 BIS AV DE LOMBEZ,43.5955673906372,1.418420510391943,25,20,5,OPEN,1591615787.0,1591616069
93,toulouse,00093 - PRINTEMPS,57 RUE DU PRINTEMPS,43.614465544425535,1.44361404386217,17,14,3,OPEN,1591615659.0,1591616069
81,toulouse,00081 - JARDIN RAYMOND VI,ALL CHARLES DE FITTE,43.59989498759688,1.429556601823956,33,5,28,OPEN,1591615846.0,1591616069
60,toulouse,00060 - ROQUELAINE,32 PL ROQUELAINE,43.61263652233987,1.448541598385468,24,23,1,OPEN,1591616001.0,1591616069
36,toulouse,00036 - PLACE SCHUMAN,5 PL ROBERT SCHUMAN,43.609623167283914,1.449367822982907,19,16,3,OPEN,1591615677.0,1591616069
227,toulouse,00227 - METRO UPS,118  RTE DE NARBONNE,43.56160969546884,1.462869145576551,20,11,9,OPEN,1591615589.0,1591616069
248,toulouse,00248 - BOUQUETINS/E. ROSTAND,RUE DES BOUQUETINS ANGLE RUE EDMOND ROSTAND,43.64108958806659,1.449039275575635,20,15,5,OPEN,1591615641.0,1591616069
53,toulouse,00053 - PLACE SAINT JULIEN,PL SAINT JULIEN,43.60863633636605,1.437631489341106,25,15,10,OPEN,1591615694.0,1591616069
187,toulouse,00187 - DESBALS MONTDORE,187 RUE HENRI DESBALS,43.584523123495174,1.415543960373121,17,3,14,OPEN,1591615805.0,1591616069
87,toulouse,00087 - LASCROSSES LECLERC,47 BD LASCROSSES,43.609500004240715,1.432335729928681,25,22,3,OPEN,1591615831.0,1591616069
225,toulouse,00225 - BELIN ONERA,AVENUE EDOUARD BELIN DEVANT ONERA,43.56947707206279,1.473268554354084,20,8,12,OPEN,1591615713.0,1591616069
121,toulouse,00121 - SERRES - A. BERNARD,33 AV HONORE SERRES,43.6123275226288,1.43834034521228,17,16,0,OPEN,1591615892.0,1591616069
84,toulouse,00084 - BRIENNE MANUFACTURE,19T ALL DE BRIENNE,43.60524239596951,1.432687682718845,24,16,8,OPEN,1591615528.0,1591616069
208,toulouse,00208 - LIMAYRAC/ DARASSE,ALL DE LIMAYRAC,43.59122002356995,1.480087483756261,18,10,8,OPEN,1591615943.0,1591616069
131,toulouse,00131 - BERNIES,15 RUE PAUL BERNIES,43.61174111564092,1.414597471267562,19,3,16,OPEN,1591615533.0,1591616069
239,toulouse,00239 - LESPINET / HERBETTES,FACE AU 127 AVENUE DE LESPINET,43.577166917623245,1.469393836823441,20,12,8,OPEN,1591615924.0,1591616069
1,toulouse,00001 - POIDS DE L'HUILE,12 RUE DU POIDS DE L'HUILE,43.604134687021045,1.445420780739279,19,4,15,OPEN,1591615904.0,1591616069
37,toulouse,00037 - STE LUCIE,53 RUE STE LUCIE,43.593506929037055,1.429880706043356,18,15,3,OPEN,1591615706.0,1591616069
7,toulouse,00007 - PLACE VICTOR HUGO,6 RUE DU REMPART VILLENEUVE,43.605852162177925,1.446593812218414,25,1,24,OPEN,1591615821.0,1591616069
259,toulouse,00259 - PLACE RICHE,Place Riche / Lalande - 31000 TOULOUSE,43.64751,1.43298,20,5,15,OPEN,1591616032.0,1591616069
234,toulouse,00234 - LOIN / RAYNAL,RUE LOIN 100M AVT RAYNAL,43.628236592839514,1.451330504561275,15,6,8,OPEN,1591615912.0,1591616069
192,toulouse,00192 - RTE DE ST SIMON/PRADO,355 route de saint-Simon,43.587659413053814,1.409162125552512,20,1,19,OPEN,1591616000.0,1591616069
48,toulouse,00048 - PLACE DU SALIN,18 PL DU SALIN,43.59474911973265,1.444132711268797,32,21,11,OPEN,1591616032.0,1591616069
266,toulouse,00266 - TOURAINE,38 RUE DE LA TOURAINE ANGLE RUE D AUVERGNE 31000 TOULOUSE,43.57375,1.41398,20,6,14,OPEN,1591615951.0,1591616069
175,toulouse,00175 - METRO MAUNOURY,Avenue Maurice BOURGES MAUNOURY,43.6394555737186,1.45256734914219,30,3,27,OPEN,1591616013.0,1591616069
166,toulouse,00166 - RANGUEIL GUYOU,23 RUE GUYOU,43.574366149048714,1.462031097914686,20,15,5,OPEN,1591615554.0,1591616069
135,toulouse,00135 - BONNEFOY   LEMAITRE,183 RUE DU FB  BONNEFOY,43.62295,1.45872,18,15,2,OPEN,1591616024.0,1591616069
79,toulouse,00079 - PLACE LANGE,1 PL LANGE,43.60112880561738,1.434138106708093,20,15,5,OPEN,1591615721.0,1591616069
210,toulouse,00210 - TERRASSE/ CENTRE CO.,FACE 42 CHE DE LA TERRASSE,43.586074956653995,1.483021040946601,18,17,1,OPEN,1591616003.0,1591616069
75,toulouse,00075 - CHATEAU D EAU,12 PL LAGANNE,43.598542607102175,1.436590757220506,21,4,17,OPEN,1591615849.0,1591616069
115,toulouse,00115 - DEMOISELLES MISTRAL,8 ALL DES DEMOISELLES,43.590622011025665,1.453805825078145,18,17,1,OPEN,1591615510.0,1591616069
221,toulouse,00221 - VAUQUELIN,FACE 85 RUE VAUQUELIN,43.57641895477528,1.406488768851485,20,2,18,OPEN,1591616030.0,1591616069
128,toulouse,00128 - PRISON ST MICHEL,18 B GRANDE RUE ST MICHEL,43.58589564207925,1.447411881616044,23,18,5,OPEN,1591615645.0,1591616069
67,toulouse,00067 - MUSEUM,35 ALL JULES GUESDE,43.59468,1.44938,22,15,7,OPEN,1591615984.0,1591616069
188,toulouse,00188 - MURET/LAFAGE,121 AVENUE DE MURET,43.584282965328995,1.427517107421507,20,18,2,OPEN,1591615604.0,1591616069
118,toulouse,00118 - PLACE DU BUSCA,2 PLACE DU BUSCA,43.58817925392077,1.450764528471522,17,11,6,OPEN,1591616023.0,1591616069
178,toulouse,00178 - BRUNAUD / PLANA,AVENUE YVES BRUNAUD,43.619281402937425,1.468753766918999,20,11,9,OPEN,1591615550.0,1591616069
41,toulouse,00041 - ST AUBIN CAMICHEL,1 RUE CHARLES CAMICHEL,43.60265364232074,1.454436078796189,21,12,9,OPEN,1591615548.0,1591616069
90,toulouse,00090 - LASCROSSES- A. BERNARD,3B BD LASCROSSES,43.61146971436288,1.437871385550754,25,15,10,OPEN,1591615639.0,1591616069
68,toulouse,00068 - METRO - PALAIS DE JUSTICE,1 BIS ALLEE JULES GUESDE,43.59265,1.44455,16,8,8,OPEN,1591616031.0,1591616069
147,toulouse,00147 - CHAUSSAS - DAUDET,96 RUE DE CHAUSSAS,43.61990748467363,1.428966282419491,20,10,10,OPEN,1591615860.0,1591616069
109,toulouse,00109 - METRO CANAL DU MIDI,1 BD DE LA MARQUETTE,43.615173611788045,1.434707777421923,25,10,15,OPEN,1591615929.0,1591616069
153,toulouse,00153 - BOURGES MAUNOURY,12 AV BOURGES MAUNOURY,43.628469420497346,1.447936286895422,18,6,12,OPEN,1591615542.0,1591616069
262,toulouse,00262 - ROND POINT CHEMIN DE BORDEROUGE,Devant N°26 Chemin de Borderouge,43.64265,1.45632,18,12,6,OPEN,1591615630.0,1591616069
197,toulouse,00197 - CASERNE PERIGNON,6 AV LOUIS BLERIOT,43.60038605818475,1.464093716152017,20,17,3,OPEN,1591615882.0,1591616069
23,toulouse,00023 - COMBATTANTS,6 BD LAZARE CARNOT,43.60128593726337,1.452057713684133,26,16,10,OPEN,1591616000.0,1591616069
273,toulouse,00273 - PASSERIEU - ST SIMON,ROND POINT DES IZARD ANGLEPASSERIEU ET ROUTE ST SIMON,43.5792,1.39262,18,7,11,OPEN,1591615841.0,1591616069
183,toulouse,00183 - RUE DE CUGNAUX,RUE DE CUGNAUX,43.5931301810241,1.42463077628583,18,15,3,OPEN,1591615895.0,1591616069
126,toulouse,00126 - ECOLE BONNEFOY,18 RUE BONNEFOY,43.61689063107848,1.454339701099757,22,18,4,OPEN,1591615666.0,1591616069
255,toulouse,00255 - HENRI SELLIER,2 RUE DES MOUETTES ANGLE ALLEES SELLIER 31000 TOULOUSE,43.57705,1.44009,16,14,1,OPEN,1591615902.0,1591616069
233,toulouse,00233 - NARBONNE /SAHUQUE,105 RTE DE NARBONNE,43.56641276350635,1.458852500499583,20,14,6,OPEN,1591615553.0,1591616069
254,toulouse,00254 - LOT - VESTREPAIN,RUE DU LOT - 100M AVANT LA RUE VESTREPAIN 31400 TOULOUSE,43.5837,1.40644,18,11,7,OPEN,1591615691.0,1591616069
21,toulouse,00021 - CARNOT LABEDA,63 BD LAZARE CARNOT,43.60411143798555,1.450245130369442,25,11,14,OPEN,1591615691.0,1591616069
62,toulouse,00062 - JAURES STALINGRAD,71 ALL JEAN JAURES,43.609044644058145,1.45336004007864,24,15,9,OPEN,1591615467.0,1591616069
244,toulouse,00244 - RENAN / VITRY,93 RUE ERNEST RENAN ANGLE RUE VITRY,43.635706776069696,1.443751822397876,18,13,5,OPEN,1591615971.0,1591616069
24,toulouse,00024 - PLACE SAINT ETIENNE,14 PL SAINT ETIENNE,43.600398667412286,1.450179100392055,22,2,20,OPEN,1591616006.0,1591616069
245,toulouse,00245 - GRANDE BRETAGNE / BADIOU,103 BIS AVENUE DE GRANDE BRETAGNE ANGLE RUE BADIOU,43.59990824072129,1.41518438915584,20,12,8,OPEN,1591615883.0,1591616069
196,toulouse,00196 - GOUJON - GUILHEMERY,6 RUE JEAN GOUJON,43.6017932127447,1.458048662941769,20,17,3,OPEN,1591615768.0,1591616069
281,toulouse,281 - NIEL,RUE ST ROCH FACE RUE ELVIRE 31000 TOULOUSE,43.57886,1.44649,18,5,13,OPEN,1591615653.0,1591616069
260,toulouse,00260 - DUCLOS - FRONTON,Avenue duclos angle Avenue de Fronton,43.64495,1.43379,18,15,3,OPEN,1591615632.0,1591616069
228,toulouse,00228 - METRO PHARMACIE,FACE 35 CHEMIN DES MARAICHERS,43.567716505871594,1.464456852027628,18,10,8,OPEN,1591615902.0,1591616069
124,toulouse,00124 - EGLISE DES MINIMES,27 AV DES MINIMES,43.61814891164924,1.436875386155235,18,13,5,OPEN,1591616002.0,1591616069
207,toulouse,00207 - CHRIST ROI,FACE 25 RUE DE L AUDE,43.58300698375498,1.481508972569192,17,9,7,OPEN,1591615872.0,1591616069
11,toulouse,00011 - PLACE DE LA DAURADE,2 PL DE LA DAURADE,43.60215,1.44026,23,0,23,OPEN,1591615733.0,1591616069
186,toulouse,00186 - DESBALS BOUALAM,1 IMPASSE BACHAGA BOUALAM,43.5792182218804,1.41112908179427,18,6,12,OPEN,1591615827.0,1591616069
235,toulouse,00235 - PAUL VERLAINE,FACE AU 8 RUE PAUL VERLAINE,43.6333722270955,1.43538536091475,19,14,5,OPEN,1591615861.0,1591616069
288,toulouse,000288 - METZ - RUE DES MARCHANDS,28 RUE DES MARCHANDS 31000 TOULOUSE,43.59995,1.44289,36,21,15,OPEN,1591616040.0,1591616069
150,toulouse,00150 - CURIE CAMPISTRON,78 BD PIERRE ET MARIE CURIE,43.62593095954932,1.439870900566373,18,13,4,OPEN,1591615458.0,1591616069
252,toulouse,00252 - NEGRENEYS /CASENEUVE,161/163 AV DE NEGRENEYS SUR ILOT CENTRAL,43.62687,1.44404,18,17,1,OPEN,1591615898.0,1591616069
184,toulouse,00184 - MICHOUN,70 CHEMIN MICHOUN,43.62727712277727,1.469362217455508,20,4,16,OPEN,1591615773.0,1591616069
271,toulouse,00271 - ANCELY,151 AVENUE DE CASSELARDIT SORTIE VILLE 31000 TOULOUSE,43.61948,1.39711,20,15,5,OPEN,1591615921.0,1591616069
33,toulouse,00033 - BERALDI,11 RUE HENRI BERALDI,43.608568713084686,1.443570238387108,15,7,8,OPEN,1591615494.0,1591616069
161,toulouse,00161 - RANGUEIL - BEDOUCE,35 AV DE RANGUEIL,43.57644751100008,1.454915112024358,15,10,4,OPEN,1591615729.0,1591616069
172,toulouse,00172 - NETWILLER / LAFORGUE,RUE HENRI EBELOT,43.642833569777416,1.461191671613412,20,8,12,OPEN,1591615468.0,1591616069
120,toulouse,00120 - PONTS JUMEAUX,152 ALL DE BARCELONE,43.61035351524297,1.420545407442975,18,15,3,OPEN,1591615691.0,1591616069
268,toulouse,00268 - PLACE BAYLAC,"avenue des Arènes Romaines, avant place du docteur Baylac 31000 TOULOUSE",43.60868,1.3972,22,15,7,OPEN,1591615573.0,1591616069
217,toulouse,00217 - AMOUROUX/ ST TROPEZ,42 CHE AMOUROUX,43.629671600633195,1.466442513411802,18,10,8,OPEN,1591615802.0,1591616069
82,toulouse,00082 - SEJOURNE CATALANS,1 AV PAUL SEJOURNE,43.605562378447424,1.427969819484834,21,12,9,OPEN,1591615694.0,1591616069
173,toulouse,00173 - MAUNOURY / SEGELA,25 AV MAURICE BOURGES MAUNOURY,43.6331828272491,1.450535969934731,19,13,6,OPEN,1591615897.0,1591616069
70,toulouse,00070 - FER A CHEVAL,5 PLACE DU FER A CHEVAL,43.59253,1.43421,18,15,3,OPEN,1591615483.0,1591616069
141,toulouse,00141 - FONTAINE LESTANG,237 RUE HENRI DESBALS,43.587583195522946,1.418128481713567,18,10,8,OPEN,1591616035.0,1591616069
108,toulouse,00108 - SEBASTOPOL - RITAY,2 BD SEBASTOPOL,43.612283701347906,1.428790629053277,20,11,9,OPEN,1591615867.0,1591616069
85,toulouse,00085 - MARECHAL LECLERC,2 BD DU MARECHAL LECLERC,43.606708008560005,1.430598716260075,22,14,8,OPEN,1591615501.0,1591616069
202,toulouse,00202 - ST EX. - COURREGE,165 AV ANTOINE DE ST EXUPERY,43.58166894906154,1.476002176599847,17,11,5,OPEN,1591615719.0,1591616069
102,toulouse,00102 -  MISTRAL - FLEURANCE,18 ALLEE FREDERIC MISTRAL,43.593599912488976,1.453042492588597,19,14,5,OPEN,1591615699.0,1591616069
143,toulouse,00143 - DESBALS SAINTONGE,145 RUE HENRI DESBALS,43.5813322052426,1.413431676051568,20,10,10,OPEN,1591615764.0,1591616069
106,toulouse,00106 - BRIENNE PASSERELLE,99 ALL DE BRIENNE,43.60842211156853,1.42386687477895,21,14,7,OPEN,1591616033.0,1591616069
30,toulouse,00030 - PLACE ANATOLE FRANCE,40 PL ANATOLE FRANCE,43.60629527233212,1.438224999266949,25,3,22,OPEN,1591615694.0,1591616069
170,toulouse,00170 - ROUTE D ALBI   / CUVIER,FACE 163 CHEMIN NICOLE,43.635666512128225,1.464148138450798,17,15,2,OPEN,1591615662.0,1591616069
274,toulouse,00274 - GALLIENI,296 route de Seysses,43.574,1.41954,18,4,13,OPEN,1591615911.0,1591616069
123,toulouse,00123 - CHAUSSAS EMBOUCHURE,1 RUE DE CHAUSSAS,43.61492465117555,1.43288072066524,23,13,10,OPEN,1591615564.0,1591616069
6,toulouse,00006 - LOIS,5 RUE DES LOIS,43.605203861405954,1.442101445768934,18,3,15,OPEN,1591615629.0,1591616069
213,toulouse,00213 - PUJOL/ CHAUBET,129 AV DE CASTRES,43.60075517705335,1.467514131065815,17,13,4,OPEN,1591615696.0,1591616069
257,toulouse,00257 - CHATEAU DE L'HERS,CHEMIN DU CHATEAU DE L'HERS ANGLE CHEMIN FONTANELLES 31000 TOULOUSE,43.60086,1.48346,16,8,8,OPEN,1591615978.0,1591616069
9,toulouse,00009 - MAILLART - ROQUEMAUREL,rue ROQUEMAUREL ANGLE RUE ELLA MAILLART,43.5959827340129,1.41021417917972,18,11,7,OPEN,1591615472.0,1591616069
97,toulouse,00097 - RAYMOND IV,RUE RAYMOND IV,43.61243588156053,1.451476646620887,21,20,1,OPEN,1591616034.0,1591616069
49,toulouse,00049 - COUTELIER - METZ,52 RUE DES COUTELIERS,43.599589544431005,1.441434965295236,16,2,14,OPEN,1591615994.0,1591616069
191,toulouse,00191 - RUE DU 14 JUILLET,395 ROUTE DE SAINT SIMON,43.58998499389323,1.415183785619737,18,6,12,OPEN,1591616006.0,1591616069
52,toulouse,00052 - DUPORTAL CITE ADMIN.,41 BD ARMAND DUPORTAL,43.60864745421513,1.434650096062823,21,15,6,OPEN,1591615705.0,1591616069
104,toulouse,00104 - MURET BARTHERE,219 AV DE MURET,43.58903,1.43104,18,13,5,OPEN,1591615484.0,1591616069
19,toulouse,00019 - CARNOT PERI,62 BD LAZARE CARNOT,43.60557592007205,1.449072022617868,24,3,21,OPEN,1591615549.0,1591616069
13,toulouse,00013 - LOIS ESQUILE,1 RUE DE L ESQUILE,43.60621318190248,1.441331077590377,15,5,10,OPEN,1591615889.0,1591616069
129,toulouse,00129 - CROIX DE PIERRE,2 BD DEODAT DE SEVERAC,43.58588,1.4278,16,4,12,OPEN,1591615942.0,1591616069
287,toulouse,00287 - STADE ERNEST-WALLON STADE TOULOUSAIN,114 rue des Troènes 31200 TOULOUSE,43.62067,1.41521,30,12,18,OPEN,1591615858.0,1591616069
212,toulouse,00212 - CHAUMIERE/ CRETES,RUE DE LA CHAUMIERE,43.615227374108336,1.465376125032407,17,17,0,OPEN,1591615530.0,1591616069
284,toulouse,00284 - METRO ARGOULETS-AGDE,"chemin du Verdon, 50m avant route d'Agde 31500 Toulouse",43.626276,1.477704,15,13,2,OPEN,1591615839.0,1591616069
158,toulouse,00158 - URSS ST THOMAS D AQUIN,57 AV DE L URSS,43.580795461338795,1.449135738584587,20,18,2,OPEN,1591615709.0,1591616069
168,toulouse,00168 - BILA   /  ROUTE D ALBI,RUE CREMON,43.626509813353074,1.458930207887618,20,19,0,OPEN,1591615713.0,1591616069
179,toulouse,00179 - CASSAING PLANA,5 CH CASSAING,43.61680265241856,1.473505161008297,17,8,9,OPEN,1591615710.0,1591616069
204,toulouse,00204 - PL. ROGER ARNAUD,PL ROGER ARNAUD,43.58677914294868,1.463164045792265,18,16,1,OPEN,1591615890.0,1591616069
249,toulouse,00249 - CROIX DAURADE,147 RTE D'ALBI,43.63812899582609,1.46521198710394,19,19,0,OPEN,1591615598.0,1591616069
15,toulouse,00015 - PONT MONTAUDRAN,face au 20 port st sauveur,43.59642,1.4565,20,18,2,OPEN,1591616021.0,1591616069
247,toulouse,00247 - LAUNAGUET / AUDIBERT,ROUTE DE LAUNAGUET ANGLE CHEMIN AUDIBERT,43.63677495879212,1.439230135508607,18,6,12,OPEN,1591615555.0,1591616069
