nom,latitue,longitude,type,sonore
ESQUIROL - METZ,43.6004912928,1.44567266016,CARREFOUR STANDARD,VOCAL
LAFOURCADE - SAINT MICHEL,43.5928542909,1.44443255394,CARREFOUR STANDARD,SONORE
LEFEBVRE-REYNERIE,43.5659134888,1.39607419395,CARREFOUR STANDARD,SONORE
ARENES St JEAN - BALMA,43.6154479937,1.49353236801,CARREFOUR STANDARD,SONORE
SAINT HONEST - MATABIAU,43.6150103981,1.44241014414,CARREFOUR PIETON,VOCAL
JOULIN - ESPAGNE,43.5502692017,1.42096341982,CARREFOUR PIETON,SONORE
GUYENNE - LANGUEDOC,43.585843202,1.34022511002,CARREFOUR STANDARD,SONORE
PONT DU BEARNAIS,43.6120837183,1.42530727223,CARREFOUR STANDARD,SONORE
FER A CHEVAL,43.5928090527,1.43442740996,CARREFOUR STANDARD,SONORE
WIESEL  - ROUTE DE TOULOUSE,43.5700488739,1.30830359157,CARREFOUR STANDARD,SONORE
SABATIER - BOULINGRIN,43.5960293429,1.45392154054,CARREFOUR PIETON,SONORE
MARC ARCIS - MINIMES,43.6234159215,1.43436524459,CARREFOUR STANDARD,VOCAL
EMILE MALE,43.5913234653,1.41900012789,CARREFOUR STANDARD,SONORE
NUNGESSER & COLI - DEODAT,43.5905351716,1.42026974156,CARREFOUR STANDARD,SONORE
MEDITERRANEE - MARINE,43.5821035882,1.46309891259,CARREFOUR STANDARD,SONORE
ECOLE SAINTE BARBE - DUPORTAL,43.6061417855,1.43465979628,CARREFOUR PIETON,VOCAL
DAYDE - SUISSE,43.6150720435,1.42099795182,CARREFOUR STANDARD,SONORE
MULE - DORVAL,43.5945852218,1.45692932262,CARREFOUR STANDARD,VOCAL
LYCEE TOULOUSE LAUTREC - CURIE,43.6252167747,1.44107212837,CARREFOUR STANDARD,SONORE
TOURAINE - SEYSSES,43.5724640817,1.41843312826,CARREFOUR STANDARD,SONORE
JUIN - LONGAUD,43.5884680603,1.43992110598,CARREFOUR STANDARD,SONORE
MOLETTE - LARDENNE,43.5909771338,1.38372690413,CARREFOUR STANDARD,VOCAL
BANVILLE - ALBI,43.6405703862,1.46629730722,CARREFOUR STANDARD,SONORE
ECOLE  AMIDONNIERS - BRIENNE,43.6097393284,1.42053400454,CARREFOUR PIETON,SONORE
SAINTE AUGUSTINE - MICHOUN,43.6250231064,1.46537098338,CARREFOUR STANDARD,SONORE
LECLERC - BARCELONE,43.6066788861,1.43047056879,CARREFOUR STANDARD,VOCAL
LUMIERE - CASSELARDIT,43.6099011356,1.4056587225,CARREFOUR STANDARD,SONORE
PHOEBUS - MURET,43.5896326332,1.43204885923,CARREFOUR STANDARD,SONORE
PN 7- DEODAT,43.5885185231,1.42339227207,CARREFOUR PIETON,SONORE
PPS JAPON - DEMOISELLES,43.5888768131,1.45753008303,CARREFOUR PPS,SONORE
TOULON - TASSIGNY,43.5813092332,1.43849518638,CARREFOUR STANDARD,SONORE
MINT - FRONTON,43.6393419364,1.43338342581,CARREFOUR STANDARD,SONORE
AUBISQUE - CASTRES,43.5974634548,1.48161694193,CARREFOUR STANDARD,SONORE
VIOLET LE DUC - PASSERIEU,43.5802604805,1.39105622966,CARREFOUR STANDARD,SONORE
TISSIE - LARDENNE,43.5932831729,1.3935737605,CARREFOUR STANDARD,VOCAL
COURSES - LARDENNE,43.5920971373,1.39955868142,CARREFOUR STANDARD,SONORE
VITARELLES - LARDENNE,43.5920292599,1.39821757308,CARREFOUR STANDARD,SONORE
CUVIER - ALBI,43.6365672091,1.46434673579,CARREFOUR PIETON,VOCAL
GARE ROUTIERE - SEMARD,43.6127564796,1.4522772026,CARREFOUR STANDARD,SONORE
CONCORDE - PRINTEMPS,43.6133461551,1.44638612695,CARREFOUR STANDARD,SONORE
CONCORDE - MATABIAU,43.6150467651,1.44787147772,CARREFOUR STANDARD,VOCAL
TROIS FOURS - SAINT EXUPERY,43.5872269863,1.46184604071,CARREFOUR STANDARD,VOCAL
PERIOLE - MARENGO,43.6116579563,1.45628480214,CARREFOUR STANDARD,VOCAL
MONTCABRIER - MARENGO,43.6107652572,1.45744519391,CARREFOUR STANDARD,VOCAL
PAIN LEVE - DEODAT DE SEVERAC,43.5866684515,1.42617880949,CARREFOUR STANDARD,SONORE
PAPIN - PUJOL,43.6017695961,1.45838732543,CARREFOUR PIETON,VOCAL
BD DE L'EUROPE - ROND POINT GAROSSOS,43.6652562759,1.36120510798,CARREFOUR STANDARD,SONORE
PPS JEAN BHUNES - BOURRASSOL,43.6023047488,1.42037319139,CARREFOUR PPS,VOCAL
LAFAY - NARBONNE,43.5548469278,1.46803472135,CARREFOUR STANDARD,SONORE
MARFAING - NARBONNE,43.557103041,1.46513576878,CARREFOUR STANDARD,SONORE
CHATEAU DE L'HERS - CHAUBET,43.6053569181,1.47991680523,CARREFOUR STANDARD,SONORE
GAYRAL - BLAGNAC,43.6154978828,1.40995423572,CARREFOUR STANDARD,SONORE
PPS PELLEPORT - PLANA,43.6103027237,1.47908559621,CARREFOUR PPS,VOCAL
MOZART - VESTREPAIN,43.5885985587,1.42110119443,CARREFOUR PIETON,SONORE
BERGES - DESBALS,43.5823094273,1.41415330492,CARREFOUR PIETON,SONORE
COLIGNON - MINIMES,43.6153347721,1.4441894674,CARREFOUR STANDARD,SONORE
CAMICHEL ESCANDE,43.6025466039,1.45652874837,CARREFOUR PIETON,VOCAL
MASSONIE - GRANDE BRETAGNE,43.6013653592,1.41206278677,CARREFOUR PIETON,SONORE
PPS SOUPETARD - CRETES,43.6092385954,1.47076808167,CARREFOUR PPS,SONORE
PPS FRANKLIN - BARCELONE,43.6084502162,1.42560315677,CARREFOUR PPS,VOCAL
GIRATOIRE BASSO CAMBO - VCSM,43.5701024148,1.39076766377,CARREFOUR STANDARD,SONORE
Echangeur Borderouge NORD,43.6476343039,1.4556594311,CARREFOUR STANDARD,SONORE
SUZANNE NOEL TOEC,43.6008257482,1.40371951127,CARREFOUR STANDARD,SONORE
HAMEAU DE LASBORDES - BALMA,43.5947287302,1.4989199886,CARREFOUR PIETON,SONORE
SANCY - RN88,43.6592761439,1.48707768771,CARREFOUR STANDARD,SONORE
PYRENEES - St JEAN,43.6520050502,1.49765935342,CARREFOUR STANDARD,SONORE
PPS GLOIRE - SOUPETARD,43.6072529824,1.46771649747,CARREFOUR PPS,VOCAL
MARNAC RD813 - RAMONVILLE,43.5492387484,1.47930361629,CARREFOUR STANDARD,SONORE
PPS BAUDELAIRE - RAMONVILLE,43.5481715877,1.47218270407,CARREFOUR PPS,SONORE
MALADIE RD813,43.5057887608,1.50820815987,CARREFOUR STANDARD,SONORE
BERLIOZ SAND - BLAGNAC,43.6510897064,1.37406983788,CARREFOUR STANDARD,SONORE
CARPENTIER ANDROMEDE - BLAGNAC,43.6527473302,1.374057462,CARREFOUR STANDARD,SONORE
SAVARY ANDROMEDE - BLAGNAC,43.654358954,1.37341769741,CARREFOUR STANDARD,SONORE
LINDBERGH AEROPORT- BLAGNAC,43.6306197438,1.37660966399,CARREFOUR STANDARD,SONORE
BELISAIRE - PARC,43.633237867,1.38854115188,CARREFOUR STANDARD,SONORE
CARRIERE MURIERS - BLAGNAC,43.6371029837,1.39487503921,CARREFOUR STANDARD,SONORE
BOURDETTES RD23,43.5528835933,1.35563720169,CARREFOUR STANDARD,SONORE
NEGRIER - ST JEAN,43.662871781,1.49764005142,CARREFOUR STANDARD,SONORE
PPS GUILLAUMET - CRETES,43.6140990202,1.46606285176,CARREFOUR PPS,SONORE
MONUMENT AUX COMBATTANTS - VERDIER,43.5996959365,1.45234341843,CARREFOUR STANDARD,SONORE
PPS BOURGELAT - SEYSSES,43.5769722726,1.42192284618,CARREFOUR PPS,VOCAL
ASSEZAT - METZ,43.6001217191,1.44260158541,CARREFOUR STANDARD,VOCAL
CALQUET - LARDENNE,43.5937214491,1.39166744047,CARREFOUR STANDARD,VOCAL
GORP - SAINT MICHEL,43.5866532744,1.44699566696,CARREFOUR STANDARD,VOCAL
PPS GALLIENI - 92 Rte d'ESPAGNE,43.5730410456,1.42427333081,CARREFOUR PPS,SONORE
PONT SEJOURNE,43.6071987496,1.42827770848,CARREFOUR STANDARD,VOCAL
PONT MONTAUDRAN,43.5985240703,1.45642480067,CARREFOUR STANDARD,SONORE
VERDIER - BOULINGRIN,43.5967964436,1.452151339,CARREFOUR PIETON,VOCAL
BREGUET - SAINT EXUPERY,43.579715896,1.48124593647,CARREFOUR STANDARD,SONORE
GARE LACOURTENSOURT - ETATS UNIS,43.6639539016,1.41446402466,CARREFOUR PIETON,VOCAL
URSS - RECOLLETS,43.5844006478,1.44787003813,CARREFOUR STANDARD,SONORE
ALES - MURET,43.583336697,1.42685820488,CARREFOUR STANDARD,SONORE
MOULIS - FRONTON,43.6636967623,1.4307654812,CARREFOUR STANDARD,SONORE
GIRONIS - ESPAGNE,43.5629629623,1.42517072103,CARREFOUR STANDARD,SONORE
BARRIERE DE BAYONNE,43.5978464402,1.41992334172,CARREFOUR STANDARD,SONORE
ABATTOIRS - FITTE,43.6009553113,1.42857306556,CARREFOUR STANDARD,VOCAL
LALANNE - SEYSSES,43.5654546759,1.41057619693,CARREFOUR STANDARD,SONORE
MESPLE CAMBOULIVES - VCSM,43.5704134949,1.3860466745,CARREFOUR STANDARD,SONORE
CAMBOULIVES  St SIMON- VCSM,43.5722365743,1.38283645455,CARREFOUR STANDARD,SONORE
SAINT BERNARD - STRASBOURG,43.6092564551,1.44502895355,CARREFOUR STANDARD,VOCAL
PONT DE BOIS RD813,43.5296705499,1.48832027999,CARREFOUR STANDARD,SONORE
ROGUET - FITTE,43.59784526,1.43082707786,CARREFOUR STANDARD,VOCAL
GARE MATABIAU,43.6114937377,1.45269437264,CARREFOUR STANDARD,SONORE
RECLUSANE - PONT ST PIERRE,43.5988769819,1.43241156013,CARREFOUR STANDARD,VOCAL
PETIT TRAIN - SAINT PIERRE,43.5836671236,1.3359329948,CARREFOUR STANDARD,VOCAL
VESTREPAIN - DEODAT DE SEVERAC,43.589451152,1.4219473871,CARREFOUR STANDARD,SONORE
ANGES - NEGRENEYS,43.6202060727,1.4412318665,CARREFOUR STANDARD,VOCAL
COTEAUX - NARBONNE,43.5699654386,1.45547474001,CARREFOUR STANDARD,SONORE
FLAMBERE - ARENES  ROMAINES,43.6179997788,1.39665724127,CARREFOUR STANDARD,SONORE
PPS SAUVEGRAIN - LARDENNE,43.5900715949,1.3778963738,CARREFOUR PPS,VOCAL
CASSELARDIT - GRANDE BRETAGNE,43.6036786996,1.40691884039,CARREFOUR STANDARD,SONORE
MERMOZ - DESBALS,43.5832799375,1.41481517285,CARREFOUR STANDARD,SONORE
RENAN - AUDIBERT,43.6366514562,1.44418766014,CARREFOUR STANDARD,SONORE
NAVES - PUJOL,43.6006133468,1.46389220521,CARREFOUR STANDARD,SONORE
ECHANGEUR CROIX DAURADE - ALBI,43.6438895856,1.46839097013,CARREFOUR STANDARD,SONORE
DAURAT - REVEL,43.5730953453,1.49320796002,CARREFOUR STANDARD,SONORE
GAZAGNE - ARC SAINT CYPRIEN,43.5930609605,1.42853932576,CARREFOUR STANDARD,SONORE
PPS BUTTE - SAINT EXUPERY,43.5815264107,1.47581721033,CARREFOUR PPS,VOCAL
LIBRE ECHANGE - POMPIDOU,43.6123168875,1.45852667168,CARREFOUR PIETON,VOCAL
SAINT HONEST - MINIMES,43.6154208368,1.44238446566,CARREFOUR PIETON,VOCAL
CAMBARD - ATLANTA,43.6289526918,1.47652261449,CARREFOUR STANDARD,SONORE
NEGRENEYS - MINIMES,43.615978855,1.44055936947,CARREFOUR STANDARD,VOCAL
BIALAR - MINIMES,43.6223431697,1.43486855999,CARREFOUR STANDARD,VOCAL
PPS DANTON - JULES JULIEN,43.576587741,1.450980813,CARREFOUR PPS,VOCAL
BRIAND - RANGUEIL,43.5775600986,1.45202713318,CARREFOUR STANDARD,SONORE
SARRETTE - ALBI,43.6452617737,1.46928570285,CARREFOUR STANDARD,SONORE
ALLENDE - ETATS UNIS,43.6589548348,1.41893335558,CARREFOUR STANDARD,SONORE
GAILLARDIE - RAMELET MOUNDI,43.5823101849,1.37047146046,CARREFOUR STANDARD,SONORE
PORT SAINT SAUVEUR - SABATIER,43.5966680096,1.45574128271,CARREFOUR PIETON,VOCAL
14 JUILLET - ST SIMON,43.5898429918,1.41519565742,CARREFOUR STANDARD,SONORE
GERBAULT - SAINT SIMON,43.5907586863,1.41772914553,CARREFOUR STANDARD,SONORE
FRENAY - LAPUJADE,43.6253158994,1.45430435805,CARREFOUR STANDARD,SONORE
BAZACLE - SEJOURNE,43.6054178033,1.42813288107,CARREFOUR STANDARD,VOCAL
CAHUZAC - REYNERIE,43.5658785153,1.39391857014,CARREFOUR STANDARD,SONORE
COMPANS - MARENGO,43.6099832128,1.45506976595,CARREFOUR STANDARD,VOCAL
HOTEL DU DEPARTEMENT - MARQUETTE,43.615176645,1.43450262893,CARREFOUR STANDARD,SONORE
MARENGO - SNCF,43.6107321167,1.45500794124,CARREFOUR STANDARD,VOCAL
PPS OURLIAC,43.5629497338,1.39156083398,CARREFOUR PPS,VOCAL
LANUSSE - BOURGES MAUNOURY,43.6352617932,1.45279221541,CARREFOUR STANDARD,SONORE
LAMBIC - MINIMES,43.6259833049,1.43393571627,CARREFOUR PIETON,VOCAL
ARTHAUD - NETWILLER,43.6430471978,1.45597471789,CARREFOUR STANDARD,SONORE
WOOLF - LAUNAGUET,43.6546183773,1.43781257362,CARREFOUR STANDARD,SONORE
PADER - FRONTON,43.6365290922,1.43328785452,CARREFOUR STANDARD,VOCAL
GARE BUS - NETWILLER,43.6409867089,1.45273357596,CARREFOUR STANDARD,SONORE
GRIFFON - LABEGE,43.5577872614,1.50358238738,CARREFOUR PIETON,SONORE
PORT St ETIENNE - MONTAUDRAN,43.5994817819,1.45596022718,CARREFOUR STANDARD,SONORE
PPS VAN DYCK - LAUNAGUET,43.6410113909,1.43914555131,CARREFOUR PPS,VOCAL
PPS DIEU BONNEFOY,43.6227646818,1.45867080881,CARREFOUR PPS,VOCAL
SANS - LOMBEZ,43.5952041323,1.41635192402,CARREFOUR PIETON,SONORE
CARENES PRAT_LONG - BALMA,43.6273079237,1.48273479566,CARREFOUR STANDARD,SONORE
MITTERRAND PRADEL - BALMA,43.603419811,1.50461834566,CARREFOUR STANDARD,SONORE
EGLISE TOLOSANE - RAMONVILLE,43.5512045714,1.46998748258,CARREFOUR STANDARD,SONORE
BAC TOLOSANE - RAMONVILLE,43.5467973622,1.47361114318,CARREFOUR STANDARD,SONORE
GUYENNE - Rte GRENADE BLAGNAC,43.6312558213,1.39140870379,CARREFOUR STANDARD,SONORE
TILLEULS  MURIERS - BLAGNAC,43.6360666159,1.38590915683,CARREFOUR STANDARD,SONORE
PLACE DE CATALOGNE - BLAGNAC,43.6411943871,1.38031963417,CARREFOUR STANDARD,SONORE
PLACE GEORGES BRASSENS - BLAGNAC,43.6479367577,1.37560480166,CARREFOUR STANDARD,SONORE
SAND BRASSENS - BLAGNAC,43.6489673871,1.37500522941,CARREFOUR STANDARD,SONORE
ZIEGLER REPUBLIQUE - BLAGNAC,43.6618145061,1.3636149608,CARREFOUR STANDARD,SONORE
N° 7 AVENUE DIDIER DAURAT - BLAGNAC,43.6288865925,1.38004862609,CARREFOUR STANDARD,SONORE
N° 27 RUE CHARLES LINDBERGH - BLAGNAC,43.6296121435,1.37810342455,CARREFOUR STANDARD,SONORE
CUISINE CENTRALE - BLAGNAC,43.6217681372,1.39548335755,CARREFOUR STANDARD,SONORE
REPUBLIQUE NOUGARO - BEAUZELLE,43.6623276144,1.3677317107,CARREFOUR STANDARD,SONORE
PETIT JEAN RD23,43.5484592358,1.35093108469,CARREFOUR STANDARD,SONORE
184 AVENUE GRANDE BRETAGNE,43.6015522818,1.41162680152,CARREFOUR PIETON,SONORE
REVEL - ROCADE CAMPAGNE,43.5723902981,1.49547708465,CARREFOUR STANDARD,SONORE
PPS OUSTALOUS -  ESPAGNE,43.5750721129,1.42421977406,CARREFOUR PPS,VOCAL
PPS RANGUEIL PARC - NARBONNE,43.5583679687,1.4641376347,CARREFOUR PPS,SONORE
BETEILLE - BONNEFOY,43.6191318963,1.45665009086,CARREFOUR PIETON,VOCAL
BILA - ALBI,43.6268981238,1.45898854814,CARREFOUR PIETON,VOCAL
BENOZZI -CAULET,43.6063241234,1.35532694303,CARREFOUR STANDARD,SONORE
MONTAGNE - LARDENNE,43.589853172,1.37056830037,CARREFOUR STANDARD,VOCAL
MAXWELL - LARDENNE,43.5902440536,1.36792326914,CARREFOUR STANDARD,VOCAL
PPS CITE DE L'ESPACE - GONORD,43.5867219657,1.49100987985,CARREFOUR PPS,SONORE
PONT MATABIAU,43.6139387744,1.45076860143,CARREFOUR STANDARD,SONORE
FERETRA - RECOLLETS,43.5839174919,1.44418709661,CARREFOUR STANDARD,SONORE
TASSIGNY - SELLIER,43.5773634947,1.43633670753,CARREFOUR STANDARD,SONORE
NOTRE DAME - SAINT MICHEL,43.5887457476,1.44621083901,CARREFOUR STANDARD,SONORE
GARE DE BUS - ESPAGNE,43.5673673518,1.42480301646,CARREFOUR STANDARD,SONORE
BACQUIE - ESPAGNE,43.5721358619,1.42429566973,CARREFOUR STANDARD,SONORE
BARRIERE DE LOMBEZ,43.5957597797,1.41945138565,CARREFOUR STANDARD,SONORE
ARMAGNAC - BONNEFOY,43.6176695714,1.45500849762,CARREFOUR STANDARD,VOCAL
LASBORDES - CASTRES,43.5948174025,1.48833983446,CARREFOUR STANDARD,SONORE
GUILLAUMET - PLANA,43.6165726133,1.47289144265,CARREFOUR STANDARD,SONORE
PLANA - CHAUBET,43.6064184364,1.48265815994,CARREFOUR STANDARD,SONORE
EISENHOWER - SEYSSES,43.5581309973,1.40212163126,CARREFOUR STANDARD,SONORE
BELLE FONTAINE - SEYSSES,43.5627569072,1.40751691316,CARREFOUR STANDARD,SONORE
R.T.P. - SEYSSES,43.5446916561,1.38441573831,CARREFOUR STANDARD,SONORE
BOULBONNE - METZ,43.6005822701,1.4482192988,CARREFOUR STANDARD,VOCAL
LYCEE AGRICOLE RD813,43.5345569039,1.48445211516,CARREFOUR PIETON,SONORE
PONT RIQUET,43.6093884776,1.45415139415,CARREFOUR STANDARD,VOCAL
ECOLE GUILLAUMET- REVEL,43.5765369192,1.48742909818,CARREFOUR PIETON,VOCAL
MERLY - STRASBOURG,43.610556123,1.44341827274,CARREFOUR STANDARD,VOCAL
ARNAUD BERNARD - HONORE SERRES,43.6115437434,1.43872720222,CARREFOUR STANDARD,VOCAL
NONCESSE-BALMA,43.5981989372,1.50515448187,CARREFOUR STANDARD,SONORE
LOUBERS - RN88,43.6498241593,1.47186858245,CARREFOUR STANDARD,SONORE
GILET AUCH COLOMIERS,43.6083069593,1.33929578529,CARREFOUR STANDARD,SONORE
SEGOFFIN - CRAMPEL,43.5836741707,1.45055046376,CARREFOUR STANDARD,SONORE
MIDI - CRAMPEL,43.5852266544,1.45452094262,CARREFOUR STANDARD,SONORE
BOURBAKI - TRENTIN,43.6255432215,1.43096085705,CARREFOUR STANDARD,SONORE
PPS SAINT THOMAS D'AQUIN - URSS,43.5807978433,1.44931266005,CARREFOUR PPS,VOCAL
BLUM - JOLIMONT,43.6140580467,1.46111608765,CARREFOUR STANDARD,SONORE
LES AVIONS - BEDOUCE,43.5763666029,1.45501342149,CARREFOUR STANDARD,SONORE
LAMBERT - DESBALS,43.5791625498,1.41116015987,CARREFOUR STANDARD,SONORE
BARTHE - CURIE,43.6261822525,1.43717866588,CARREFOUR STANDARD,SONORE
DUCUING - NARBONNE,43.5635348064,1.46128165054,CARREFOUR STANDARD,SONORE
ECOLE INFIRMIERES - GRANDE BRETAGNE,43.6059459613,1.40188465169,CARREFOUR STANDARD,SONORE
NICOL -  AGDE,43.6251053965,1.47513871034,CARREFOUR PIETON,VOCAL
ITALIE - MIDI,43.584291983,1.4555135558,CARREFOUR STANDARD,SONORE
SAUGES - NARBONNE,43.5552016523,1.46691461157,CARREFOUR STANDARD,SONORE
PELUDE - NARBONNE,43.5669825832,1.45833329678,CARREFOUR STANDARD,SONORE
AMOUROUX - ALBI,43.6263406138,1.45905265763,CARREFOUR STANDARD,SONORE
EISENHOWER - SAINT SIMON,43.567934212,1.37665315794,CARREFOUR STANDARD,SONORE
LABEGE - REVEL,43.5712018074,1.49852593425,CARREFOUR STANDARD,SONORE
PASSERELLE RAISIN - MATABIAU,43.6151659005,1.44557373219,CARREFOUR PIETON,SONORE
AGDE - ATLANTA,43.6269532702,1.47752912734,CARREFOUR STANDARD,SONORE
OHNET - ATLANTA,43.6386275314,1.47119422892,CARREFOUR STANDARD,SONORE
ORMEAU - REVEL,43.5788077969,1.48403634712,CARREFOUR STANDARD,SONORE
PPS ECOLE RICARDIE - URSS,43.5827170608,1.44855366491,CARREFOUR PPS,VOCAL
PORT GARAUD - PONT SAINT MICHEL,43.5920959298,1.44209540281,CARREFOUR STANDARD,SONORE
JARDIN DES PLANTES - MISTRAL,43.5928269936,1.4526513618,CARREFOUR PIETON,VOCAL
RAYNAL - BONNEFOY,43.6155463258,1.45258234493,CARREFOUR STANDARD,SONORE
SORTIE RAISIN - MINIMES,43.615270815,1.44844897836,CARREFOUR STANDARD,VOCAL
LA LOGE - ESPAGNE,43.5678786521,1.42477947949,CARREFOUR STANDARD,SONORE
L'ARC - STRASBOURG,43.6101207648,1.44412405638,CARREFOUR PIETON,VOCAL
AGDE ROCADE - VILLE BORDEAUX,43.6276665853,1.4784858769,CARREFOUR STANDARD,SONORE
RISPET - LAUNAGUET,43.6484334706,1.43898055425,CARREFOUR STANDARD,SONORE
CLARETIE - NOULET,43.5882641559,1.46456318561,CARREFOUR STANDARD,SONORE
POULHES - VALLON,43.558759632,1.45667804253,CARREFOUR STANDARD,SONORE
CIMETIERE - ALBI,43.6385559887,1.46531696331,CARREFOUR STANDARD,SONORE
REGUELONGUE - ST SIMON,43.5624616921,1.37146078824,CARREFOUR STANDARD,SONORE
CAUNES - ATLANTA,43.6399066646,1.46994191059,CARREFOUR STANDARD,SONORE
RIQUET - DUPUY,43.600163285,1.45380581604,CARREFOUR PIETON,VOCAL
BELLEVUE - NARBONNE,43.560349236,1.46302621446,CARREFOUR STANDARD,SONORE
HOPITAL MERE ENFANT - CASSELARDIT,43.6121303699,1.40269822038,CARREFOUR STANDARD,SONORE
SAINT CAPRAIS - RN88,43.6472136162,1.47040407149,CARREFOUR STANDARD,SONORE
MAIGNAN - MINIMES,43.6172525216,1.43687284558,CARREFOUR PIETON,VOCAL
PELUDE - RANGUEIL,43.5713837389,1.46266725275,CARREFOUR STANDARD,SONORE
PPS EYDOUX - NARBONNE,43.5714226538,1.45390725683,CARREFOUR PPS,VOCAL
PPS PLATANES - JUIN,43.5860619871,1.4394511562,CARREFOUR PPS,VOCAL
PPS MAILLOL - TABAR,43.5743767653,1.4025690486,CARREFOUR PPS,SONORE
BADIOU - MAILLART,43.5991400723,1.411225906,CARREFOUR STANDARD,SONORE
PARKING BASTARD - PURPAN,43.6118221812,1.40158441012,CARREFOUR STANDARD,SONORE
